ten,Gia,Tinh_trang,Kich_thuoc_man_hinh,Cong_nghe_man_hinh,Camera_truoc,Camera_sau,Chipset,Cong_nghe_NFC,Dung_luong_ram,Bo_nho_trong,Dung_luong_pin,The_SIM,Do_phan_giai_man_hinh,Tinh_nang_man_hinh,Loai_CPU,loai_san_pham
Xiaomi 14T 12GB 512GB,13990000.0,Có 43 cửa hàng có sản phẩm,6.67 inches,AMOLED,"32MPƒ/2,0
FOV 80,8˚
Chế độ ban đêm
HDR
Tính năng chụp ảnh bằng lòng bàn tay","Camera chính: 50MP, 23mm, ƒ/1 7 Cảm biến hình ảnh IMX906 của Sony 2 0 m Super Pixel
Máy ảnh tele: 50MP, 50mm, ƒ/1 9
Máy ảnh góc siêu rộng: 12MP, 15mm, ƒ/2 2",MediaTek Dimensity 8300-Ultra,Có,12 GB,512 GB,5000 mAh,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,1220 x 2712 pixels,"144Hz, 1,5K CrystalRes AMOLED, 446 ppi, 4000 nits, Độ sâu màu 12 bit, Làm mờ PWM lên đến 3840
HDR10+, Dolby Vision","1x Cortex-A715, Lên đến 3,35GHz; 3x Cortex-A715, Lên đến 3,2GHz; 4x Cortex-A510 lên đến 2,2GHz",Điện thoại
Xiaomi 14T Pro 12GB 512GB,17990000.0,Có 43 cửa hàng có sản phẩm,6.67 inches,AMOLED,"32MPƒ/2,0
Độ dài tiêu cự tương đương 25 mm
FOV 80,8˚
Chế độ ban đêm
HDR
Tính năng chụp ảnh bằng lòng bàn tay","Máy ảnh chính: 50MP, 23mm, ƒ/1 6
Máy ảnh góc siêu rộng: 12MP, 15mm, ƒ/2 2
Máy ảnh tele: 50MP, 60mm, ƒ/2 0",MediaTek Dimensity 9300+,Có,12 GB,512 GB,5000 mAh,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,1220 x 2712 pixels,"144Hz, 446 ppi, 4000 nits
Độ sâu màu 12 bit
Làm mờ PWM lên đến 3840
HDR10+, Dolby Vision®
Mặt sau cong 3D","1 x Cortex-X4, tối đa 3,4GHz; 3 x Cortex-X4, lên đến 2,85GHz; 4 x Cortex-A720, lên đến 2.0GHz",Điện thoại
Samsung Galaxy M55 (12GB 256GB),12690000.0,Có 47 cửa hàng có sản phẩm,6.7 inches,Super AMOLED Plus,"Camera góc rộng: 50 MP, f/2.4","Camera góc rộng: 50 MP, f/1.8, 1/1.56"", 1.0µm, PDAF, OIS
Camera góc siêu rộng: 8 MP, f/2.2, 123˚
Camera macro: 2 MP, f/2.4",Qualcomm Snapdragon 7 Gen 1 (4 nm),Có,12 GB,256 GB,5000 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"Tần số quét 120Hz, 1000 nits",1x2.4 GHz Cortex-A710 & 3x2.36 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510,Điện thoại
iPhone 14 Pro Max 128GB | Chính hãng VN/A,29990000.0,Có 1 cửa hàng có sản phẩm,6.7 inches,Super Retina XDR OLED,"Camera selfie: 12 MP, f/1.9, 23mm, 1/3.6"", PDAF","Camera chính: 48 MP, f/1.8, 24mm, 1.22µm, PDAF, OIS
Camera góc siêu rộng: 12 MP, f/2.2, 13mm, 120˚, 1.4µm, PDAF
Camera tele: 12 MP, f/2.8, 77mm (telephoto), PDAF, OIS, 3x optical zoom
Cảm biến độ sâu TOF 3D LiDAR",Apple A16 Bionic 6-core,Có,6 GB,128 GB,4.323 mAh,2 SIM (nano‑SIM và eSIM),2796 x 1290-pixel,"120Hz, Always-On display, HDR, True Tone, Haptic Touch, 2,000,000:1, 2000 nits",CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,Điện thoại
Samsung Galaxy Z Flip5 512GB,29990000.0,Có 44 cửa hàng có sản phẩm,6.7 inches,Dynamic AMOLED 2X,"10MP, F2.4, 1.22μm","Camera siêu rộng: 12MP, F2.2, 123°, 1.12 μm, FF
Camera chính: 12MP, F1.8, Dual Pixel, 1.8μm, OIS",Snapdragon 8 Gen 2 for Galaxy,Có,8 GB,512 GB,3700 mAh,Nano-SIM + eSIM,1080 x 2640 pixels,"Màn hình trong: Dynamic AMOLED 2X, FHD+ (2640 x 1080 Pixels), 120 Hz, Ultra Thin Glass, độ sáng tối đa 1000nits
Màn hình phụ: 3.4"" (720x748) Super AMOLED, 60Hz, 306ppi, Corning Gorilla Glass Victus 2",không có thông tin,Điện thoại
Samsung Galaxy Z Flip6 12GB 256GB,28990000.0,Có 19 cửa hàng có sản phẩm,6.7 inches,Dynamic AMOLED 2X,"10.0 MP, f/2.2","Camera góc chụp rộng: 50.0 MP, f/1.8, thu phóng quang học 2x
Góc chụp siêu rộng: 12.0 MP, f/2.2",Snapdragon 8 Gen 3 for Galaxy Tăng lên 42% AI,Có,12 GB,256 GB,4000 mAh,2 Nano SIM hoặc 1 Nano + 1 eSIM,1080 x 2640 pixels,"Màn hình chính: 6.7 inch, 2640 x 1080 (FHD+), 120 Hz, độ sâu màu sắc: 16M, 1600nits
Màn hình phụ: 3.4"", 720 x 748, Super AMOLED, độ sâu màu sắc: 16M, 1600nits
Kính Corning® Gorilla® Glass Victus® 2","8 nhân 3.39 GHz, 3.1GHz, 2.9GHz, 2.2GHz",Điện thoại
Samsung Galaxy A15 LTE 8GB 128GB,4990000.0,Có 46 cửa hàng có sản phẩm,6.5 inches,Super AMOLED,13MP,"Chính 50 MP & Phụ 5 MP, 2 MP",MediaTek G99,Có,8 GB,128 GB,5000 mAh,2 SIM (Nano-SIM),1080 x 2340 pixels (FullHD+),"Tần số quét 90 Hz
Độ sáng tối đa: 800 nits
Mặt kính cảm ứng: Kính cường lực",không có thông tin,Điện thoại
Xiaomi POCO X6 Pro 5G 8GB 256GB - Chỉ có tại CellphoneS,9990000.0,Có 47 cửa hàng có sản phẩm,6.67 inches,AMOLED,Camera góc siêu rộng: 16 MP,"Camera góc siêu rộng: 64 MP, f/1.7
Camera góc siêu rộng: 8 MP, 120° FOV, f/2.2
Camera macro: 2 MP, f/2.4",Dimensity 8300-Ultra,Có,8 GB,256 GB,5000 mAh,2 SIM (Nano-SIM),1220 x 2712 pixels,"68 tỷ màu, tần số 120Hz, Dolby Vision, HDR10+, 1800 nits, 5,000,000:1, DCI-P3
Corning Gorilla Glass 5",không có thông tin,Điện thoại
Samsung Galaxy S23 8GB 128GB - Chỉ có tại CellphoneS,22990000.0,Có 45 cửa hàng có sản phẩm,6.1 inches,Dynamic AMOLED 2X,12MP,"Camera chính 50 MP & Phụ 12 MP, 10 MP",Snapdragon 8 Gen 2 for Galaxy,Có,8 GB,128 GB,3900 mAh,2 Nano SIM hoặc 1 Nano + 1 eSIM,1080 x 2340 pixels (FullHD+),"Tần số quét 120Hz, Độ sáng tối đa 1750 nits
Kính cường lực Corning Gorilla Glass Victus 2","1 nhân 3.36 GHz, 4 nhân 2.8 GHz & 3 nhân 2 GHz",Điện thoại
Xiaomi Redmi Note 13 (6GB 128GB),4890000.0,Có 47 cửa hàng có sản phẩm,6.67 inches,AMOLED,16MP,"Chính 108 MP & Phụ 8 MP, 2 MP",Snapdragon 685,Không,6 GB,128 GB,5000 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),Tần số quét 120Hz,"CPU lõi tám, tốc độ lên tới 2,8 GHz",Điện thoại
Điện thoại Nubia Music NFC 4GB 128GB (Bản đặc biệt),2390000.0,Có 47 cửa hàng có sản phẩm,6.6 inches,IPS LCD,5MP,50MP + AI Camera,không có thông tin,Có,4 GB,128 GB,5000 mAh,không có thông tin,1612x720 (HD+),Tần số quét 90Hz,không có thông tin,Điện thoại
iPhone 15 Plus 128GB | Chính hãng VN/A,25990000.0,Có 45 cửa hàng có sản phẩm,6.7 inches,Super Retina XDR OLED,"12MP, ƒ/1.9",Chính 48 MP & Phụ 12 MP,Apple A16 Bionic,Có,6 GB,128 GB,4383 mAh,2 SIM (nano‑SIM và eSIM),2796 x 1290-pixel,"Dynamic Island
HDR display
True Tone
Wide color (P3)
Tần số quét 60 Hz
Haptic Touch
Lớp phủ oleophobia chống dấu vân tay
Độ sáng tối đa: 2000 nits
Mật độ điểm ảnh 460 ppi",CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện,Điện thoại
iPhone 15 Pro 128GB | Chính hãng VN/A,28990000.0,Có 1 cửa hàng có sản phẩm,6.1 inches,Super Retina XDR OLED,"12MP, ƒ/1.9","Camera chính: 48MP, 24 mm, ƒ/1.78,
Camera góc siêu rộng: 12 MP, 13 mm, ƒ/2.2
Camera Tele 3x: 12 MP, 77 mm, ƒ/2.8",Apple A17 Pro 6 nhân,Có,8 GB,128 GB,3274 mAh,2 SIM (nano‑SIM và eSIM),2556 x 1179 pixels,"Tốc độ làm mới 120Hz
460 ppi
HDR
True Tone
Dải màu rộng (P3)
Haptic Touch
Tỷ lệ tương phản 2.000.000:1
Độ sáng 2.000 nit",CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi hiệu suất,Điện thoại
"Mua iPhone 16 Pro Max 512GB | Giá tốt, trả góp 0%",40990000.0,Có 37 cửa hàng có sản phẩm,6.9 inches,Super Retina XDR OLED,"12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels","Camera chính: 48MP, f/1.78, 24mm, 2µm, chống rung quang học dịch chuyển cảm biến thế hệ thứ hai, Focus Pixels 100%
Telephoto 2x 12MP: 52 mm, ƒ/1.6
Camera góc siêu rộng: 48MP, 13 mm,ƒ/2.2 và trường ảnh 120°, Hybrid Focus Pixels, ảnh có độ phân giải",Apple A18 Pro,Có,không có thông tin,512 GB,không có thông tin,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,2868 x 1320 pixels,"Dynamic Island
Màn hình Luôn Bật
Công nghệ ProMotion với tốc độ làm mới thích ứng lên đến 120Hz
Màn hình HDR
True Tone
Dải màu rộng (P3)
Haptic Touch
Tỷ lệ tương phản 2.000.000:1",CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi hiệu suất,Điện thoại
OPPO A3 (6GB 128GB),4690000.0,Có 47 cửa hàng có sản phẩm,6.67 inches,LCD,"5 MP, Khẩu độ F/2.2","50MP, Khẩu độ F/1.8","Snapdragon 6s 4G Gen1, tối đa 2.1GHz",Không,6 GB,128 GB,5100mAh,2 SIM (Nano-SIM),720 x 1604 (HD+),"16 triệu màu, 90Hz, Kính cường lực Panda, độ sáng 1000 nit",không có thông tin,Điện thoại
Xiaomi Redmi Note 13 Pro 4G,5290000.0,Có 47 cửa hàng có sản phẩm,6.67 inches,AMOLED,16 MP,"Chính 200 MP & Phụ 8 MP, 2 MP",MediaTek Helio G99-Ultra 8 nhân,Có,8 GB,128 GB,5000 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"Tần số quét 120Hz
1300 nits
Kính cường lực Corning Gorilla Glass 5",không có thông tin,Điện thoại
Tecno Pova 6 Neo (8GB 128GB),4590000.0,Có 46 cửa hàng có sản phẩm,6.78 inches,LCD,8MP,50MP + AI,MediaTek Helio G99 Ultimate,Có,8 GB,128 GB,7000 mAh,2 Nano-SIM,1080x2460 pixels,Tốc độ làm mới 120Hz,2*A76 up to 2.2Ghz 6*A55 up to 2Ghz,Điện thoại
Điện thoại Nubia Neo 2,4990000.0,Có 47 cửa hàng có sản phẩm,6.72 inches,IPS LCD,16MP,"Camera góc rộng: 50 MP, f/1.8, PDAF
Camera đo độ sâu: 2 MP, f/2.4",Unisoc T820 (6 nm),Có,8 GB,256 GB,6000mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"Corning Gorilla Glass, 400 ppi
Tần số quét 120Hz",1x2.7 GHz Cortex-A76 & 3x2.3 GHz Cortex-A76 & 4x2.1 GHz Cortex-A55,Điện thoại
Xiaomi Redmi Note 13 Pro Plus 5G 8GB 256GB,10990000.0,Có 47 cửa hàng có sản phẩm,6.67 inches,AMOLED,16 MP,"Chính 200 MP & Phụ 8 MP, 2 MP",Mediatek Dimensity 7200 Ultra (4 nm),Có,8 GB,256 GB,5000 mAh,2 SIM (Nano-SIM),1220 x 2712 pixels,Tần số quét 120Hz,không có thông tin,Điện thoại
Điện thoại Itel RS4 8GB 256GB NFC,3990000.0,Có 47 cửa hàng có sản phẩm,6.56 inches,IPS LCD,8 MP,"Camera góc rộng: 50 MP, f/1.6, AF",Mediatek Helio G99 Ultimate,Có,8 GB,256 GB,"5,000 mAh",2 Nano-SIM,720 x 1612 (HD+),"Tần số quét 120Hz
Tỷ lệ 20:9 (mật độ ~ 269 ppi)",2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55,Điện thoại
iPhone 12 64GB | Chính hãng VN/A,15990000.0,Có 39 cửa hàng có sản phẩm,6.1 inches,"Super Retina XDR OLED, HDR10, Dolby Vision, Wide color gamut, True-tone","12 MP, f/2.2, 23mm (wide), 1/3.6""
SL 3D, (depth/biometrics sensor)","12 MP, f/1.6, 26mm (wide), 1.4µm, dual pixel PDAF, OIS
12 MP, f/2.4, 120˚, 13mm (ultrawide), 1/3.6""",Apple A14 Bionic (5 nm),Có,4 GB,64 GB,"Li-Ion, sạc nhanh 20W, sạc không dây 15W, USB Power Delivery 2.0",2 SIM (nano‑SIM và eSIM),1170 x 2532 pixels,"HDR10
Dolby Vision
True-tone",không có thông tin,Điện thoại
Samsung Galaxy A06 4GB 128GB,,Có 47 cửa hàng có sản phẩm,6.7 inches,PLS LCD,"8.0 MP, f/2.0","50.0 MP, f/1.8
2.0 MP, f/2.4",MediaTek Helio G85,không có thông tin,4 GB,128 GB,5000 mAh,2 SIM (Nano-SIM),720 x 1600 pixel,16 triệu màu,"8 nhân 2GHz, 1.8GHz",Điện thoại
Xiaomi POCO M6 (6GB 128GB) - Chỉ có tại Cellphones S,4290000.0,Có 47 cửa hàng có sản phẩm,6.79 inches,IPS LCD,"13MP, f/2,45","Camera chính: 108MP siêu rõ ống kính 6P, f/1,75
Camera macro: 2MP f/2,4",Helio G91-Ultra,Có,6 GB,128 GB,5030 mAh,2 SIM (Nano-SIM),2460x1080 pixels,"396 ppi
Lên đến 90Hz
450 nit","Cortex-A75+Cortex-A55
Tần số tối đa của CPU: 2.0GHz",Điện thoại
Samsung Galaxy A55 5G 8GB 128GB,9990000.0,Có 44 cửa hàng có sản phẩm,6.6 inches,Super AMOLED,32 MP,"Camera chính: 50 MP OIS+HDR
Camera góc rộng: 12MP
Camera macro: 5MP",Exynos 1480 4nm 2.4GHz,Có,8 GB,128 GB,5000 mAh,2 SIM (Nano-SIM),1080 x 2400 pixels (FullHD+),"Tần số quét 120Hz, 1000nits
96% DCI-P3, 1000 nits, Gorilla Glass 7+",4 nhân 2.7 GHz & 4 nhân 2.0 GHz,Điện thoại
Xiaomi Redmi 14C 4GB 128GB,3290000.0,Có 47 cửa hàng có sản phẩm,6.88 inches,không có thông tin,13MP - f/2.0,"50MP, Ống kính -5P, f/1.8",MediaTek Helio G81-Ultra,không có thông tin,4 GB,128 GB,5160mAh,2 SIM (Nano-SIM),720 x 1640 pixels,"Tốc độ làm mới lên tới 120Hz
Độ sáng: 450 nits (typ), 600 nits (HBM)",không có thông tin,Điện thoại
iPhone 14 128GB | Chính hãng VN/A,19990000.0,Có 39 cửa hàng có sản phẩm,6.1 inches,OLED,"12MP, ƒ/1.9","Camera góc rộng: 12MP, ƒ/1.5
Camera góc siêu rộng: 12MP, ƒ/2.4",Apple A15 Bionic 6 nhân,Có,6 GB,128 GB,"3,279mAh",2 SIM (nano‑SIM và eSIM),2532 x 1170 pixels,"Tần số quét 60Hz, 1200 nits, Kính cường lực Ceramic Shield, Super Retina XDR",không có thông tin,Điện thoại
Samsung Galaxy S24 8GB 256GB,22990000.0,Có 7 cửa hàng có sản phẩm,6.2 inches,Dynamic AMOLED 2X,"12 MP, f/2.2","Camera chính 50 MP, f/1.8
Camera tele: 10 MP, f/2.4, PDAF, OIS, zoom quang học 3x
Camera góc siêu rộng: 12 MP, f/2.2, 120˚",Exynos 2400,Có,8 GB,256 GB,4000 mAh,SIM 1 + SIM 2 / SIM 1 + eSIM / 2 eSIM,1080 x 2340 pixels (FullHD+),"120Hz, Độ sáng tối đa 2600 nits, Corning® Gorilla® Glass Victus® 2, 16 triệu màu",không có thông tin,Điện thoại
Samsung Galaxy S24 Plus 12GB 256GB,26990000.0,Có 36 cửa hàng có sản phẩm,6.7 inches,Dynamic AMOLED 2X,"12 MP, f/2.2","Camera chính góc rộng: 50 MP, f/1.8, Dual Pixel PDAF, OIS
Camera tele: 10 MP, f/2.4, PDAF, OIS, zoom quang học 3x
Camera góc siêu rộng: 12 MP, f/2.2, 120˚",Exynos 2400,Có,12 GB,256 GB,"4,900mAh",SIM 1 + SIM 2 / SIM 1 + eSIM / 2 eSIM,3120 x 1440 pixels (Quad HD+),"120Hz, Độ sáng tối đa 2600 nits, Corning® Gorilla® Glass Victus® 2, 16 triệu màu","3.2GHz,2.9GHz,2.6GHz,1.95GHz",Điện thoại
OPPO Reno12 F 5G (8GB 256GB),9490000.0,Có 40 cửa hàng có sản phẩm,6.7 inches,AMOLED,32MP,"50MP
Camera góc rộng: 8MP
Camera xóa phông: 2MP",MediaTek Dimensity 6300,Có,8 GB,256 GB,5000 mAh,không có thông tin,không có thông tin,Tần số quét 120Hz,không có thông tin,Điện thoại
iPhone 11 64GB | Chính hãng VN/A,11990000.0,Có 41 cửa hàng có sản phẩm,6.1 inches,IPS LCD,"12 MP, ƒ/2.2 aperture","Camera kép 12MP:
- Camera góc rộng: ƒ/1.8 aperture
- Camera siêu rộng: ƒ/2.4 aperture",A13 Bionic,Có,4 GB,64 GB,3110 mAh,Nano-SIM + eSIM,1792 x 828 pixel,True-tone,không có thông tin,Điện thoại
Samsung Galaxy S23 FE 5G 8GB 128GB,14890000.0,Có 47 cửa hàng có sản phẩm,6.4 inches,Dynamic AMOLED 2X,10 MP,"50 MP & Phụ 12 MP, 8 MP",Exynos 2200 8 nhân,Có,8 GB,128 GB,4500 mAh,2 Nano SIM hoặc 1 Nano + 1 eSIM,1080 x 2340 pixels (FullHD+),"Tần số quét 120 Hz, 1450 nits
Kính cường lực Corning Gorilla Glass 5","1 nhân 2.8 GHz, 3 nhân 2.5 GHz & 4 nhân 1.8 GHz",Điện thoại
Samsung Galaxy Z Flip5 256GB,25990000.0,Có 23 cửa hàng có sản phẩm,6.7 inches,Dynamic AMOLED 2X,"10MP, F2.4, 1.22μm","Camera siêu rộng: 12MP, F2.2, 123°, 1.12 μm, FF
Camera chính: 12MP, F1.8, Dual Pixel, 1.8μm, OIS",Snapdragon 8 Gen 2 for Galaxy,Có,8 GB,256 GB,3700 mAh,2 SIM (nano‑SIM và eSIM),1080 x 2640 pixels,"Màn hình trong: Dynamic AMOLED 2X, FHD+ (2640 x 1080 Pixels), 120 Hz, Ultra Thin Glass, độ sáng tối đa 1000nits
Màn hình phụ: 3.4"" (720x748) Super AMOLED, 60Hz, 306ppi, Corning Gorilla Glass Victus 2",không có thông tin,Điện thoại
